DATE,wage,gdp,unemp,homes_sold,new_homes,price,interest
2000-06-30,606.0,101.72368383333333,3.9333333333333336,305.3333333333333,4.533333333333334,104.0505,6.271978021978022
2000-09-30,611.0,101.58089376666668,4.0,301.6666666666667,4.166666666666667,105.786,6.51945652173913
2000-12-31,614.0,101.1766836,3.9,301.3333333333333,3.9333333333333336,108.27466666666668,6.4748913043478264
2001-03-31,620.0,100.6399511,4.233333333333333,294.6666666666667,3.766666666666667,110.48466666666667,5.597
2001-06-30,624.0,100.11588004666665,4.3999999999999995,296.6666666666667,4.033333333333334,112.20333333333333,4.326703296703297
2001-09-30,636.0,99.55770329666666,4.833333333333333,307.6666666666667,4.333333333333333,114.156,3.5015217391304345
2001-12-31,642.0,99.21050196333333,5.5,308.0,4.066666666666666,115.872,2.130434782608696
2002-03-31,645.0,99.13918997666667,5.7,313.0,4.1000000000000005,117.89133333333332,1.732888888888889
2002-06-30,643.0,99.07137995666666,5.833333333333333,326.3333333333333,4.166666666666667,120.71600000000001,1.7515384615384615
2002-09-30,646.0,98.83266001666668,5.733333333333333,333.3333333333333,4.033333333333333,123.83300000000001,1.7408695652173913
2002-12-31,651.0,98.51265932,5.866666666666667,337.3333333333333,4.0,126.675,1.4442391304347826
2003-03-31,659.0,98.38624350333333,5.866666666666667,340.0,4.2,129.32133333333334,1.2496666666666667
2003-06-30,659.0,98.63379294666667,6.133333333333333,342.0,3.8333333333333335,131.756,1.2467032967032967
2003-09-30,662.0,99.14368788999998,6.133333333333333,346.0,3.6333333333333333,135.01266666666666,1.0168478260869565
2003-12-31,667.0,99.51118987333332,5.833333333333333,365.6666666666667,3.9666666666666663,138.83533333333332,0.9967391304347827
2004-03-31,676.0,99.61254164333333,5.7,375.6666666666667,3.6999999999999997,143.299,1.001868131868132
2004-06-30,684.0,99.68772014333332,5.599999999999999,383.0,3.9,148.209,1.0113186813186814
2004-09-30,681.0,99.89080228,5.433333333333334,405.0,4.3,152.71666666666667,1.4307608695652174
2004-12-31,692.0,100.18811266666667,5.433333333333334,417.6666666666667,4.1000000000000005,157.53600000000003,1.9498913043478259
2005-03-31,696.0,100.43390146666667,5.3,444.0,4.266666666666667,163.4813333333333,2.4690000000000003
2005-06-30,688.0,100.53001556666668,5.1000000000000005,450.0,4.266666666666667,169.34733333333332,2.9417582417582415
2005-09-30,697.0,100.62245030000001,4.966666666666667,475.6666666666667,4.466666666666667,174.57900000000004,3.46
2005-12-31,704.0,100.83284683333333,4.966666666666667,501.0,4.8,179.5393333333333,3.9782608695652173
2006-03-31,712.0,101.09894956666666,4.733333333333333,538.0,5.766666666666667,183.32366666666667,4.454111111111112
2006-06-30,705.0,101.13011773333334,4.633333333333333,565.3333333333334,6.266666666666667,183.99733333333333,4.907582417582417
2006-09-30,726.0,101.06977093333334,4.633333333333334,565.6666666666666,6.8999999999999995,182.81966666666668,5.2453260869565215
2006-12-31,726.0,101.14286873333333,4.433333333333334,544.3333333333334,6.8,183.65066666666667,5.242934782608696
2007-03-31,733.0,101.26948476666666,4.5,542.3333333333334,7.666666666666667,184.42233333333334,5.254555555555556
2007-06-30,735.0,101.47320046666668,4.5,545.0,7.8,181.62199999999999,5.252417582417583
2007-09-30,745.0,101.71176580000001,4.666666666666667,532.3333333333334,8.9,178.26200000000003,5.074347826086957
2007-12-31,741.0,101.82026583333334,4.8,504.6666666666667,9.166666666666666,175.3706666666667,4.495652173913044
2008-03-31,757.0,101.74642286666666,5.0,478.0,9.833333333333334,171.57633333333334,3.1814285714285715
2008-06-30,760.0,101.54334376666668,5.333333333333333,448.0,10.566666666666666,166.67066666666668,2.0847252747252747
2008-09-30,763.0,100.7496046,6.0,407.6666666666667,10.9,161.955,1.9406521739130433
2008-12-31,764.0,99.36306865333334,6.866666666666667,368.3333333333333,11.4,156.02966666666666,0.5053260869565218
2009-03-31,772.0,98.22197260666667,8.266666666666667,326.0,11.233333333333334,150.0583333333333,0.18444444444444447
2009-06-30,770.0,97.78489546666667,9.299999999999999,290.3333333333333,9.5,147.91166666666666,0.17802197802197803
2009-09-30,774.0,97.93810801,9.633333333333333,261.0,7.733333333333333,148.236,0.15434782608695652
2009-12-31,780.0,98.38483565333333,9.933333333333334,238.0,7.666666666666667,147.97,0.11836956521739131
2010-03-31,787.0,98.84529979,9.833333333333334,230.33333333333334,7.833333333333333,146.29566666666668,0.1338888888888889
2010-06-30,774.0,99.30913572666667,9.633333333333333,215.0,7.933333333333334,146.16966666666667,0.19197802197802197
2010-09-30,780.0,99.66512821666667,9.466666666666667,205.33333333333334,8.433333333333334,143.97166666666666,0.18880434782608696
2010-12-31,788.0,99.74501141333333,9.5,194.66666666666666,7.8,142.25166666666667,0.18956521739130436
2011-03-31,791.0,99.61057355999999,9.033333333333333,183.0,7.533333333333334,140.62300000000002,0.15455555555555556
2011-06-30,794.0,99.53078319666668,9.066666666666666,169.0,6.633333333333333,139.92499999999998,0.09461538461538462
2011-09-30,798.0,99.58093221333333,9.0,162.66666666666666,6.5,139.23333333333335,0.08358695652173913
2011-12-31,805.0,99.87676612333333,8.633333333333333,154.66666666666666,5.666666666666667,137.26133333333334,0.07434782608695653
2012-03-31,815.0,100.16980816666667,8.266666666666667,147.0,5.0,137.013,0.10417582417582417
2012-06-30,821.0,100.21018373333334,8.2,144.33333333333334,4.8,140.11333333333334,0.1523076923076923
2012-09-30,803.0,100.04038967333334,8.033333333333333,143.0,4.566666666666666,142.28366666666668,0.14434782608695654
2012-12-31,823.0,99.89159546333333,7.8,149.0,4.666666666666667,144.562,0.16119565217391305
2013-03-31,827.0,99.87825169,7.733333333333333,152.0,4.1000000000000005,148.19466666666668,0.14366666666666666
2013-06-30,828.0,99.87832834666666,7.533333333333334,161.66666666666666,4.366666666666666,152.8563333333333,0.11582417582417584
2013-09-30,820.0,99.91951359666666,7.233333333333333,176.33333333333334,5.466666666666666,156.93766666666667,0.08521739130434783
2013-12-31,835.0,99.85329367333334,6.933333333333334,184.33333333333334,5.033333333333334,160.10633333333334,0.08554347826086957
2014-03-31,837.0,99.72616809333333,6.666666666666667,188.66666666666666,5.333333333333333,162.52366666666666,0.07222222222222222
2014-06-30,831.0,99.94096736,6.2,194.33333333333334,5.533333333333334,163.702,0.09098901098901098
2014-09-30,839.0,100.2843767,6.066666666666666,208.0,5.666666666666667,165.234,0.0891304347826087
2014-12-31,847.0,100.4594659,5.7,210.0,5.366666666666667,167.34766666666667,0.10130434782608697
2015-03-31,856.0,100.54311483333333,5.533333333333334,204.66666666666666,4.8,169.20433333333332,0.11288888888888889
2015-06-30,852.0,100.51680976666667,5.433333333333334,211.0,5.1000000000000005,170.881,0.1256043956043956
2015-09-30,857.0,100.33571373333332,5.1000000000000005,219.66666666666666,5.366666666666667,172.97299999999998,0.13478260869565217
2015-12-31,872.0,100.10836236666667,5.033333333333333,229.0,5.3999999999999995,175.7006666666667,0.16108695652173913
2016-03-31,878.0,99.95878497333332,4.8999999999999995,239.0,5.533333333333334,177.7206666666667,0.3597802197802198
2016-06-30,880.0,99.85416396333333,4.933333333333334,242.33333333333334,5.133333333333333,179.439,0.36934065934065935
2016-09-30,886.0,99.79675631666667,4.8999999999999995,240.33333333333334,4.8999999999999995,181.851,0.39489130434782604
2016-12-31,896.0,99.74469494333334,4.766666666666667,250.33333333333334,5.266666666666667,184.727,0.44815217391304346
2017-03-31,908.0,99.69358895333333,4.566666666666666,261.0,5.233333333333333,187.37933333333334,0.698888888888889
2017-06-30,909.0,99.71137622333333,4.366666666666667,271.0,5.266666666666667,189.68233333333333,0.9473626373626375
2017-09-30,909.0,99.85713698333332,4.333333333333333,280.0,5.733333333333333,192.66933333333336,1.1536956521739128
2017-12-31,902.0,100.10281886666667,4.166666666666667,288.6666666666667,5.3,195.896,1.2046739130434783
2018-03-31,922.0,100.3441069,4.033333333333333,295.0,5.566666666666666,199.141,1.4469999999999998
2018-06-30,928.0,100.4970029,3.9333333333333336,303.6666666666667,5.6000000000000005,201.62233333333333,1.736923076923077
2018-09-30,934.0,100.48104873333334,3.766666666666667,319.6666666666667,6.433333333333334,203.72133333333332,1.9261956521739132
2018-12-31,946.0,100.39073006666666,3.8333333333333335,337.6666666666667,7.066666666666666,205.44933333333333,2.220108695652174
2019-03-31,954.0,100.43275383333334,3.8666666666666667,340.6666666666667,6.366666666666667,206.72666666666666,2.401777777777778
2019-06-30,960.0,100.6129745,3.6,333.0,5.833333333333333,208.48933333333335,2.397362637362637
2019-09-30,975.0,100.79435106666666,3.6333333333333333,325.0,5.6000000000000005,210.21266666666668,2.1921739130434785
2019-12-31,984.0,100.91928923333334,3.6,321.6666666666667,5.533333333333334,212.49266666666668,1.6456521739130436
2020-03-31,1000.0,99.33545197,3.8000000000000003,328.6666666666667,5.8999999999999995,215.54700000000003,1.254945054945055
2020-06-30,1046.0,92.69011737,12.966666666666667,312.0,5.3,217.764,0.0587912087912088
2020-09-30,1051.0,96.42971055,8.833333333333334,285.6666666666667,3.4,222.678,0.0926086956521739
2020-12-31,1029.0,97.60073490333333,6.766666666666667,290.0,3.8666666666666667,232.59199999999998,0.08880434782608695
2021-03-31,1040.0,98.64894832666666,6.2,307.6666666666667,4.333333333333333,242.14166666666665,0.07688888888888888
2021-06-30,1048.0,99.27850176666665,5.8999999999999995,331.0,5.3,254.633,0.06824175824175824
2021-09-30,1068.0,99.82910135666667,5.1000000000000005,370.3333333333333,6.2,266.87833333333333,0.09000000000000001
2021-12-31,1069.0,100.23118566666666,4.233333333333333,388.6666666666667,6.233333333333333,276.591,0.07945652173913044
2022-03-31,1100.0,100.05962806666666,3.8000000000000003,400.3333333333333,6.233333333333333,290.54466666666667,0.12144444444444444
2022-06-30,1107.0,99.67549536,3.6,437.0,8.4,303.26750000000004,0.33
